Size,Add,Sub,Mul,Div,SpAdd,SpSub,SpMul,SpDiv,TAdd,TSub,TMul,TDiv
100,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,1,1,3,0,0,0,1,0
10000,0,0,7,0,5,4,16,4,1,0,7,0
22500,0,0,47,1,13,13,57,10,2,1,46,7
40000,25,2,102,2,30,27,122,18,3,3,77,3
90000,2,2,367,4,70,71,295,39,6,6,226,8
160000,4,3,618,6,89,89,542,76,11,11,805,15
250000,5,6,1307,10,142,146,994,128,20,23,1452,25
